Block Number,Trial Number,Problem,Answer,Subject Response,Accuracy,Response Time
1,1,"('37-29=', 8)",8,6,2,2.289669285
1,2,"('3x0=', 0)",0,0,1,0.761438161
1,3,"('24/4=', 6)",6,6,1,1.069616275
1,4,"('3x0=', 0)",0,0,1,0.624975246
1,5,"('2x3=', 6)",6,6,1,0.821311436
1,6,"('0x25=', 0)",0,0,1,0.723358732
1,7,"('37-29=', 8)",8,8,1,2.012485632
1,8,"('37-29=', 8)",8,8,1,1.282375905
1,9,"('3x3=', 9)",9,9,1,1.515262677
1,10,"('0x25=', 0)",0,0,1,1.144656311
2,1,"('24/4=', 6)",6,6,1,0.942485055
2,2,"('35/7=', 5)",5,5,1,1.070747177
2,3,"('3x0=', 0)",0,0,1,0.61563492
2,4,"('2x3=', 6)",6,6,1,0.65629249
2,5,"('0x25=', 0)",0,0,1,0.744469224
2,6,"('18-13=', 5)",5,5,1,1.183093483
2,7,"('18-13=', 5)",5,5,1,0.59250982
2,8,"('6+1=', 7)",7,7,1,0.697768412
2,9,"('3x3=', 9)",9,9,1,0.629948878
2,10,"('35/7=', 5)",5,5,1,0.860279853
